Province,District,Constituency,Winner,Candidate,Votes,Margin,Wikipedia
6,Mugu,Mugu 1,NC,"ऐन बहादुर शाही ठकुरी",25820,0.154764,"https://en.wikipedia.org/wiki/Mugu_1_constituency"
6,Rukum West,Rukum West 1,Maoist,"जनार्दन शर्मा",57295,0.464054,"https://en.wikipedia.org/wiki/Rukum_West%201_constituency"
6,Salyan,Salyan 1,US,"प्रकाश ज्वाला",76328,0.208508,"https://en.wikipedia.org/wiki/Salyan_1_constituency"
6,Surkhet,Surkhet 1,NC,"पूर्ण बहादुर खड्का",75615,0.15366,"https://en.wikipedia.org/wiki/Surkhet_1_constituency"
6,Surkhet,Surkhet 2,NC,"हृदयराम थानी",72426,0.069961,"https://en.wikipedia.org/wiki/Surkhet_2_constituency"
7,Achham,Achham 1,US,"शेर बहादुर कुँवर",39415,0.113891,"https://en.wikipedia.org/wiki/Achham_1_constituency"
7,Achham,Achham 2,NC,"पुष्प बहादुर शाह",39773,0.171976,"https://en.wikipedia.org/wiki/Achham_2_constituency"
7,Baitadi,Baitadi 1,UML,"दामोदर भण्डारी",72498,0.021118,"https://en.wikipedia.org/wiki/Baitadi_1_constituency"
7,Bajhang,Bajhang 1,US,"भानुभक्त जोशी",58613,0.017078,"https://en.wikipedia.org/wiki/Bajhang_1_constituency"
7,Bajura,Bajura 1,NC,"बद्री प्रसाद पाण्डे",58529,0.092894,"https://en.wikipedia.org/wiki/Bajura_1_constituency"
7,Dadeldhura,Dadeldhura 1,NC,"शेर बहादुर देउवा",48016,0.260163,"https://en.wikipedia.org/wiki/Dadeldhura_1_constituency"
7,Darchula,Darchula 1,NC,"दिलेन्द्र प्रसाद बडू",55723,0.038297,"https://en.wikipedia.org/wiki/Darchula_1_constituency"
7,Doti,Doti 1,US,"प्रेम वहादुर आले",58583,0.071796,"https://en.wikipedia.org/wiki/Doti_1_constituency"
7,Kailali,Kailali 1,NUP,"रन्जिता श्रेष्ठ",60878,0.202421,"https://en.wikipedia.org/wiki/Kailali_1_constituency"
7,Kailali,Kailali 2,NUP,"अरुन कुमार चौधरी",56710,0.10127,"https://en.wikipedia.org/wiki/Kailali_2_constituency"
7,Kailali,Kailali 3,NUP,"गंगा राम चौधरी",59719,0.089938,"https://en.wikipedia.org/wiki/Kailali_3_constituency"
7,Kailali,Kailali 4,NC,"विर बहादुर बलायर",59367,0.060842,"https://en.wikipedia.org/wiki/Kailali_4_constituency"
7,Kailali,Kailali 5,NC,"डिल्ली राज पन्त",61766,0.017388,"https://en.wikipedia.org/wiki/Kailali_5_constituency"
7,Kanchanpur,Kanchanpur 1,UML,"तारा लामा तामाङ",60140,0.092168,"https://en.wikipedia.org/wiki/Kanchanpur_1_constituency"
7,Kanchanpur,Kanchanpur 2,NC,"नारायण प्रकाश साउद",59916,0.107717,"https://en.wikipedia.org/wiki/Kanchanpur_2_constituency"
7,Kanchanpur,Kanchanpur 3,NC,"रमेश लेखक",54157,0.22324,"https://en.wikipedia.org/wiki/Kanchanpur_3_constituency"
